R-TfaEn,REn,RabA,RabB,RabC,RabD,RabE,RabF,RabG,RabH,RabI,TfaEn,area,cMHCIEn,exCxEn,imCxEn,membraneMarker,mvb,oMHCIEn,ovaEn,pepEn,pepMHCIEn,protonEn,solubleMarker,volume,
2.8999999999999997E-35,5.2,2700000.0,350000.0,5900.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4,3099999.9999999995,51.0,0.53,0.53,0.0,35.0,0.074,0.0,0.0,0.0,260000.0,1.0,5.0E8,
2.8999999999999997E-35,5.2,2700000.0,350000.0,5900.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4,3099999.9999999995,51.0,0.53,0.53,0.0,35.0,0.086,0.0,0.0,0.0,270000.0,1.0,5.0E8,
2.8999999999999997E-35,5.2,2700000.0,350000.0,5900.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4,3099999.9999999995,51.0,0.53,0.53,0.0,35.0,0.11,0.0,0.0,0.0,280000.0,1.0,5.0E8,
2.8999999999999997E-35,5.2,2700000.0,350000.0,5900.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4,3099999.9999999995,51.0,0.53,0.53,0.0,35.0,0.13,0.0,0.0,0.0,290000.0,1.0,5.0E8,
2.8999999999999997E-35,5.2,2700000.0,350000.0,5900.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4,3099999.9999999995,51.0,0.53,0.53,0.0,35.0,0.17,0.0,0.0,0.0,300000.0,1.0,5.0E8,
2.8999999999999997E-35,5.2,2700000.0,350000.0,5900.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4,3099999.9999999995,51.0,0.53,0.53,0.0,35.0,0.22,0.0,0.0,0.0,310000.0,1.0,5.0E8,
2.8999999999999997E-35,5.2,2700000.0,350000.0,5900.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4,3099999.9999999995,51.0,0.53,0.53,0.0,35.0,0.13,0.0,0.0,0.0,280000.0,1.0,5.0E8,
2.8999999999999997E-35,5.2,2700000.0,350000.0,5900.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4,3099999.9999999995,51.0,0.53,0.53,0.0,35.0,0.1,0.0,0.0,0.0,270000.0,1.0,5.0E8,
3.1E-35,7.6,2700000.0,390000.0,15000.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,3099999.9999999995,79.0,0.83,0.83,0.0,35.0,0.1,0.0,0.0,0.0,260000.0,1.0,5.0E8,
3.0E-35,7.4,2700000.0,380000.0,15000.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,3099999.9999999995,77.0,0.81,0.81,0.0,37.0,0.071,0.0,0.0,0.0,240000.0,1.0,5.0E8,
3.0E-35,7.3,2700000.0,380000.0,15000.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,3099999.9999999995,76.0,0.81,0.81,0.0,41.0,0.06,0.0,0.0,0.0,240000.0,1.0,5.0E8,
3.0E-35,7.3,2700000.0,380000.0,15000.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,3099999.9999999995,76.0,0.81,0.81,0.0,43.0,0.062,0.0,0.0,0.0,240000.0,1.0,5.0E8,
3.0E-35,7.3,2700000.0,380000.0,15000.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,3099999.9999999995,76.0,0.81,0.81,0.0,43.0,0.071,0.0,0.0,0.0,240000.0,1.0,5.0E8,
3.0E-35,7.3,2700000.0,380000.0,15000.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,3099999.9999999995,76.0,0.81,0.81,0.0,44.0,0.088,0.0,0.0,0.0,250000.0,1.0,5.0E8,
3.0E-35,7.3,2700000.0,380000.0,15000.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,3099999.9999999995,76.0,0.81,0.81,0.0,44.0,0.11,0.0,0.0,0.0,260000.0,1.0,5.0E8,
3.0E-35,7.3,2700000.0,380000.0,15000.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,3099999.9999999995,76.0,0.81,0.81,0.0,44.0,0.15,0.0,0.0,0.0,270000.0,1.0,5.0E8,
3.0E-35,7.3,2700000.0,380000.0,15000.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,3099999.9999999995,76.0,0.81,0.81,0.0,44.0,0.19,0.0,0.0,0.0,280000.0,1.0,5.0E8,
3.0E-35,7.3,2700000.0,380000.0,15000.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,3099999.9999999995,76.0,0.81,0.81,0.0,44.0,0.16,0.0,0.0,0.0,280000.0,1.0,5.0E8,
