entropy,entropyInd,RabA,RabB,RabC,RabD,RabE,RabF,RabG,RabH,RabI,xPM,
0.3212,0.3044,0.004304,0.00473,0.00356,0.0168,0.004248,0.001443,0.001229,0.01061,0.008542,0.9445,
0.3212,0.3086,0.004285,0.004746,0.003564,0.0168,0.004248,0.001443,0.001293,0.01083,0.008256,0.9445,
0.3211,0.3055,0.004281,0.004743,0.003568,0.01675,0.004303,0.001407,0.00134,0.0108,0.008217,0.9446,
0.3226,0.3049,0.004277,0.004736,0.003575,0.01668,0.004317,0.00141,0.001367,0.01075,0.008581,0.9443,
0.3236,0.3083,0.004269,0.004733,0.003583,0.01668,0.004316,0.001437,0.001411,0.01083,0.008629,0.9441,
0.327,0.345,0.004265,0.004735,0.003585,0.01668,0.004316,0.001453,0.004102,0.008123,0.008629,0.9441,
0.3271,0.3502,0.004253,0.00474,0.003592,0.01668,0.004328,0.00144,0.004144,0.008396,0.008313,0.9441,
0.3284,0.3513,0.004252,0.004736,0.003594,0.01667,0.004327,0.001465,0.004165,0.008533,0.008411,0.9438,
0.3283,0.3541,0.004243,0.004739,0.0036,0.01667,0.004315,0.001462,0.004293,0.008533,0.008269,0.9439,
0.3284,0.3601,0.004236,0.00474,0.003607,0.01667,0.00433,0.001478,0.004305,0.00849,0.008269,0.9439,
0.3284,0.3431,0.004232,0.00474,0.00361,0.01667,0.00433,0.001478,0.004329,0.008467,0.008269,0.9439,
0.3285,0.3448,0.004232,0.004735,0.003615,0.01667,0.00433,0.001493,0.004409,0.008449,0.008192,0.9439,
0.3285,0.3461,0.004223,0.004736,0.003623,0.01667,0.00433,0.001512,0.004437,0.008441,0.008152,0.9439,
0.3286,0.3482,0.004211,0.004739,0.003633,0.01667,0.004373,0.001526,0.004403,0.008417,0.008152,0.9439,
0.3322,0.3423,0.00437,0.004742,0.003632,0.01666,0.004394,0.001543,0.004397,0.008557,0.008568,0.9431,
0.3322,0.3446,0.00437,0.00474,0.003633,0.01666,0.004413,0.001524,0.004421,0.008623,0.008478,0.9431,
0.3322,0.3482,0.004365,0.004741,0.003637,0.01666,0.004413,0.001524,0.004457,0.00882,0.008246,0.9431,
0.3322,0.3643,0.004363,0.004736,0.003644,0.01666,0.004413,0.001553,0.004428,0.009138,0.007928,0.9431,
0.3322,0.3592,0.00436,0.004735,0.003649,0.01666,0.004437,0.001529,0.004497,0.009273,0.007724,0.9431,
0.3318,0.3403,0.004353,0.004725,0.003665,0.01666,0.004383,0.001545,0.004465,0.009273,0.007724,0.9432,
0.3354,0.322,0.00435,0.004717,0.003666,0.01665,0.004379,0.00157,0.004503,0.009262,0.008439,0.9425,
0.3354,0.3378,0.00433,0.004735,0.003669,0.01665,0.004379,0.00157,0.004503,0.009436,0.008266,0.9425,
0.3353,0.3252,0.004313,0.004746,0.003675,0.01665,0.004391,0.001576,0.004484,0.009893,0.007809,0.9425,
0.3349,0.3268,0.004314,0.00474,0.003681,0.01665,0.004415,0.001553,0.004484,0.01019,0.007438,0.9425,
0.3366,0.3164,0.004309,0.00473,0.00369,0.01665,0.004436,0.001529,0.004482,0.01023,0.007773,0.9422,
0.3366,0.3167,0.004307,0.004729,0.003694,0.01665,0.004436,0.001576,0.004436,0.01023,0.007773,0.9422,
0.3371,0.3118,0.004306,0.004719,0.003703,0.01664,0.004436,0.001595,0.004416,0.01023,0.007864,0.9421,
0.3361,0.3048,0.004307,0.004711,0.003712,0.01665,0.0049,0.00115,0.004442,0.01051,0.007464,0.9422,
0.3376,0.3107,0.00429,0.004709,0.003726,0.01664,0.004898,0.001169,0.004445,0.01056,0.007694,0.9419,
0.3381,0.3257,0.004277,0.004722,0.003726,0.01661,0.004918,0.003103,0.002492,0.0106,0.007602,0.942,
0.3414,0.3273,0.004264,0.004716,0.003736,0.01659,0.004929,0.003109,0.002467,0.01082,0.008123,0.9412,
0.341,0.3322,0.004181,0.00471,0.003742,0.01668,0.004929,0.003133,0.002467,0.0108,0.008045,0.9413,
0.3423,0.3252,0.00418,0.004702,0.003747,0.01667,0.004878,0.003171,0.002427,0.01098,0.008217,0.941,
0.3422,0.3252,0.004166,0.004714,0.003748,0.01667,0.004878,0.003171,0.002427,0.01118,0.008016,0.941,
0.3422,0.3332,0.004163,0.004716,0.00375,0.01667,0.004878,0.003239,0.002359,0.01124,0.007953,0.941,
0.3433,0.3245,0.004155,0.00472,0.003751,0.01667,0.004899,0.003216,0.00239,0.01121,0.008197,0.9408,
0.3432,0.327,0.004141,0.004726,0.003759,0.01667,0.004919,0.003214,0.002371,0.01147,0.007936,0.9408,
0.3431,0.3397,0.004131,0.004731,0.003763,0.01665,0.004919,0.003233,0.002352,0.01163,0.007776,0.9408,
0.343,0.3123,0.004131,0.004728,0.003766,0.01665,0.004942,0.003249,0.002314,0.0118,0.007605,0.9408,
0.3427,0.3127,0.004124,0.004731,0.00377,0.0166,0.004941,0.003307,0.002256,0.01188,0.007524,0.9409,
0.3424,0.317,0.004119,0.004732,0.003774,0.01658,0.004965,0.003283,0.002275,0.0123,0.007087,0.9409,
