RabA,RabB,RabC,RabD,RabE,RabF,RabG,RabH,RabI,xPM,
1295000.0,1204000.0,841200.0,4165000.0,1076000.0,120000.0,366100.0,1868000.0,1607000.0,2.3999999999999997E8,
1287000.0,1202000.0,844000.0,4167000.0,1069000.0,120000.0,376900.0,1898000.0,1566000.0,2.3999999999999997E8,
1274000.0,1204000.0,845900.0,4171000.0,1073000.0,120900.0,378100.0,1927000.0,1577000.0,2.3999999999999997E8,
1272000.0,1204000.0,848400.0,4171000.0,1073000.0,120900.0,384200.0,1943000.0,1619000.0,2.3999999999999997E8,
1272000.0,1201000.0,851000.0,4171000.0,1073000.0,127000.0,387000.0,1934000.0,1619000.0,2.3999999999999997E8,
1270000.0,1201000.0,852800.0,4171000.0,1073000.0,127000.0,407100.0,2009000.0,1525000.0,2.3999999999999997E8,
1267000.0,1201000.0,855200.0,4171000.0,1073000.0,136300.0,435200.0,1984000.0,1615000.0,2.3999999999999997E8,
1267000.0,1202000.0,855200.0,4171000.0,1073000.0,141100.0,430300.0,2010000.0,1589000.0,2.3999999999999997E8,
1263000.0,1203000.0,857700.0,4171000.0,1073000.0,147200.0,424300.0,2082000.0,1505000.0,2.3999999999999997E8,
1258000.0,1207000.0,858700.0,4166000.0,1073000.0,147200.0,424300.0,2082000.0,1505000.0,2.3999999999999997E8,
1256000.0,1208000.0,859100.0,4157000.0,1055000.0,147200.0,434700.0,2072000.0,1504000.0,2.3999999999999997E8,
1253000.0,1205000.0,860700.0,4157000.0,1055000.0,147200.0,443900.0,2068000.0,1498000.0,2.3999999999999997E8,
1251000.0,1205000.0,862200.0,4157000.0,1061000.0,147600.0,437500.0,2091000.0,1454000.0,2.3999999999999997E8,
1230000.0,1206000.0,862800.0,4177000.0,1061000.0,147600.0,437500.0,2097000.0,1448000.0,2.3999999999999997E8,
1225000.0,1209000.0,863800.0,4177000.0,1061000.0,147600.0,442300.0,2116000.0,1424000.0,2.3999999999999997E8,
1225000.0,1207000.0,866600.0,4172000.0,1068000.0,148100.0,434900.0,2133000.0,1407000.0,2.3999999999999997E8,
1262000.0,1206000.0,867800.0,4201000.0,1068000.0,152900.0,434900.0,2221000.0,1446000.0,2.3989999999999997E8,
1259000.0,1207000.0,869500.0,4201000.0,1055000.0,161600.0,426200.0,2221000.0,1446000.0,2.3999999999999997E8,
1247000.0,1212000.0,870600.0,4208000.0,1055000.0,170300.0,417600.0,2221000.0,1535000.0,2.3999999999999997E8,
1246000.0,1212000.0,871300.0,4208000.0,1055000.0,179000.0,413700.0,2237000.0,1567000.0,2.3999999999999997E8,
1244000.0,1211000.0,874600.0,4208000.0,1055000.0,179000.0,413700.0,2271000.0,1636000.0,2.3999999999999997E8,
1200000.0,1211000.0,875500.0,4236000.0,1055000.0,178900.0,413700.0,2283000.0,1624000.0,2.3999999999999997E8,
1198000.0,1213000.0,875500.0,4236000.0,1055000.0,178900.0,429800.0,2360000.0,1576000.0,2.3999999999999997E8,
1197000.0,1212000.0,877800.0,4236000.0,1055000.0,188500.0,420100.0,2379000.0,1558000.0,2.3999999999999997E8,
1196000.0,1212000.0,878800.0,4236000.0,1055000.0,188500.0,428200.0,2392000.0,1537000.0,2.3999999999999997E8,
1195000.0,1213000.0,878800.0,4236000.0,1052000.0,179400.0,428200.0,2404000.0,1664000.0,2.3999999999999997E8,
1150000.0,1212000.0,880100.0,4281000.0,1052000.0,185500.0,422100.0,2436000.0,1755000.0,2.3999999999999997E8,
1147000.0,1213000.0,881200.0,4281000.0,1058000.0,186500.0,415000.0,2442000.0,1748000.0,2.3999999999999997E8,
1146000.0,1213000.0,882000.0,4276000.0,1068000.0,181000.0,410200.0,2542000.0,1649000.0,2.3999999999999997E8,
1144000.0,1213000.0,884200.0,4262000.0,1068000.0,196000.0,401200.0,2536000.0,1649000.0,2.3999999999999997E8,
1143000.0,1213000.0,884900.0,4262000.0,1068000.0,202100.0,395200.0,2558000.0,1626000.0,2.3999999999999997E8,
1143000.0,1211000.0,887000.0,4262000.0,1072000.0,326900.0,271300.0,2554000.0,1780000.0,2.3999999999999997E8,
1124000.0,1213000.0,887600.0,4279000.0,1072000.0,350600.0,247600.0,2566000.0,1768000.0,2.3999999999999997E8,
1120000.0,1213000.0,889300.0,4266000.0,1072000.0,350600.0,253400.0,2598000.0,1730000.0,2.3999999999999997E8,
1113000.0,1213000.0,890900.0,4272000.0,1091000.0,331400.0,273900.0,2578000.0,1752000.0,2.3999999999999997E8,
1108000.0,1216000.0,892500.0,4272000.0,1091000.0,338800.0,272500.0,2582000.0,1787000.0,2.3999999999999997E8,
1106000.0,1215000.0,891100.0,4272000.0,1091000.0,346200.0,282400.0,2606000.0,1746000.0,2.3999999999999997E8,
1104000.0,1214000.0,892600.0,4272000.0,1095000.0,356200.0,268600.0,2606000.0,1746000.0,2.3999999999999997E8,
1103000.0,1214000.0,894600.0,4272000.0,1095000.0,362600.0,271400.0,2633000.0,1709000.0,2.3999999999999997E8,
1103000.0,1211000.0,896900.0,4272000.0,1095000.0,368600.0,265400.0,2680000.0,1689000.0,2.3999999999999997E8,
1097000.0,1209000.0,899300.0,4274000.0,1105000.0,358900.0,274200.0,2681000.0,1754000.0,2.3999999999999997E8,
1096000.0,1209000.0,899900.0,4274000.0,1105000.0,362800.0,275200.0,2693000.0,1737000.0,2.3999999999999997E8,
1095000.0,1209000.0,901500.0,4274000.0,1105000.0,366700.0,283400.0,2695000.0,1722000.0,2.3999999999999997E8,
1095000.0,1207000.0,902900.0,4274000.0,1105000.0,366700.0,289400.0,2707000.0,1816000.0,2.3999999999999997E8,
1094000.0,1204000.0,901200.0,4269000.0,1105000.0,366700.0,304300.0,2703000.0,1945000.0,2.3999999999999997E8,
